region,rank,A_test,AB_test,A_test_Logical,AB_test_Logical,Zero_Rank,A_test_boot,AB_test_boot
396,2,0.1622,0.385,TRUE,TRUE,FALSE,0.3367,0.6281
397,2,0.0072,0.099,FALSE,TRUE,FALSE,0.0553,0.2111
398,2,5e-4,0.057,FALSE,TRUE,FALSE,0.0101,0.1709
399,2,0,0.3527,FALSE,TRUE,FALSE,0,0.5126
400,2,0,0.0598,FALSE,TRUE,FALSE,0,0.1106
401,2,0,0.0012,FALSE,FALSE,FALSE,0,0.0101
402,2,0.0482,0.182,TRUE,TRUE,FALSE,0.1809,0.2864
403,1,8e-4,NA,FALSE,NA,FALSE,0.005,0.0101
404,2,0,5e-4,FALSE,FALSE,FALSE,0.005,0.0151
405,1,0.7348,NA,TRUE,NA,FALSE,0.8191,0.8291
406,2,0.5402,0.088,TRUE,TRUE,FALSE,0.6633,0.2613
407,2,0,0.0151,FALSE,TRUE,FALSE,0,0.0653
408,2,0.0282,0.0524,TRUE,TRUE,FALSE,0.1106,0.196
409,2,2e-4,0.3894,FALSE,TRUE,FALSE,0.0151,0.5628
410,1,1e-4,NA,FALSE,NA,FALSE,0,0.005
411,2,0,0.2707,FALSE,TRUE,FALSE,0,0.407
412,2,0.4238,0.1614,TRUE,TRUE,FALSE,0.5377,0.3618
413,1,0.1549,NA,TRUE,NA,FALSE,0.191,0.2513
414,2,1e-4,0.002,FALSE,FALSE,FALSE,0,0.0201
415,2,0,0.0097,FALSE,FALSE,FALSE,0,0.0452
416,2,0,0.1209,FALSE,TRUE,FALSE,0,0.2714
417,2,0.0071,0.3275,FALSE,TRUE,FALSE,0.0452,0.5477
418,2,0.0013,0.7737,FALSE,TRUE,FALSE,0.0251,0.8744
419,2,0.0012,0.8197,FALSE,TRUE,FALSE,0.0101,0.9095
420,1,1e-4,NA,FALSE,NA,FALSE,0,0
421,1,0.4354,NA,TRUE,NA,FALSE,0.5528,0.4774
422,2,1e-4,0.1459,FALSE,TRUE,FALSE,0,0.2613
423,1,0.1163,NA,TRUE,NA,FALSE,0.2613,0.2513
424,1,0.6396,NA,TRUE,NA,FALSE,0.6935,0.7337
425,2,1e-4,0.0014,FALSE,FALSE,FALSE,0.0101,0.0151
426,2,9e-4,0.6386,FALSE,TRUE,FALSE,0.0201,0.799
427,2,7e-4,0.1251,FALSE,TRUE,FALSE,0.0201,0.2965
428,2,0,0.0116,FALSE,TRUE,FALSE,0,0.0352
429,1,0,NA,FALSE,NA,FALSE,0,0
430,2,2e-4,0.3081,FALSE,TRUE,FALSE,0.005,0.5075
431,2,0.018,0.064,TRUE,TRUE,FALSE,0.0905,0.1457
432,2,0,0.0024,FALSE,FALSE,FALSE,0,0
433,2,0.0048,0.0195,FALSE,TRUE,FALSE,0.0754,0.0955
434,2,0.0044,0.017,FALSE,TRUE,FALSE,0.0352,0.0905
435,2,0.0227,0.0374,TRUE,TRUE,FALSE,0.1156,0.206
436,1,0.1844,NA,TRUE,NA,FALSE,0.3317,0.2864
437,2,0.0105,0.5459,TRUE,TRUE,FALSE,0.0302,0.6834
438,2,1e-4,0.0026,FALSE,FALSE,FALSE,0,0.0201
439,2,0,2e-4,FALSE,FALSE,FALSE,0,0
440,2,0.0127,0.3828,TRUE,TRUE,FALSE,0.1156,0.5628
441,2,1e-4,0.1815,FALSE,TRUE,FALSE,0.0101,0.3417
442,2,5e-4,0.2413,FALSE,TRUE,FALSE,0.005,0.3618
443,2,0.0043,0.1244,FALSE,TRUE,FALSE,0.0905,0.3417
444,2,8e-4,0.6769,FALSE,TRUE,FALSE,0.005,0.8141
445,1,0.0522,NA,TRUE,NA,FALSE,0.201,0.1055
446,2,1e-4,0.0338,FALSE,TRUE,FALSE,0,0.1156
447,1,0.0999,NA,TRUE,NA,FALSE,0.2111,0.2111
448,2,0,0.0497,FALSE,TRUE,FALSE,0,0.1206
